,Name,author,price,rate,image
0,"Too Good to Be True : A smart, funny will-they-won’t-they romance",Prajakta Koli,₹285.00,no rate,"https://images-eu.ssl-images-amazon.com/images/I/81pGO40uexL._AC_UL900_SR900,600_.jpg"
1,Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,Thibaut Meurisse,₹191.00,"12,295","https://images-eu.ssl-images-amazon.com/images/I/712K3sdLlRL._AC_UL900_SR900,600_.jpg"
2,The Psychology of Money,Morgan Housel,₹305.00,"68,998","https://images-eu.ssl-images-amazon.com/images/I/81Dky+tD+pL._AC_UL900_SR900,600_.jpg"
3,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,₹399.00,"81,311","https://images-eu.ssl-images-amazon.com/images/I/711c-uf6AFL._AC_UL900_SR900,600_.jpg"
4,"Oswaal CBSE 25 Combined Sample Question papers Class 10 Books Science, Mathematics Standard, Social Science, English Language and Literature, Hindi-A (For 2025 Exam)",Oswaal Editorial Board,₹423.00,143,"https://images-eu.ssl-images-amazon.com/images/I/813SflvsqCL._AC_UL900_SR900,600_.jpg"
5,Atomic Habits,James Clear,₹579.00,"100,016","https://images-eu.ssl-images-amazon.com/images/I/81F90H7hnML._AC_UL900_SR900,600_.jpg"
6,White Nights,Fyodor Dostoyevsky,₹124.00,"1,624","https://images-eu.ssl-images-amazon.com/images/I/51lMJWnnRDL._AC_UL900_SR900,600_.jpg"
7,Amma Diarylo Konni Pageelu,Ravi Mantri,₹220.00,"1,333","https://images-eu.ssl-images-amazon.com/images/I/81rjyBm+UYL._AC_UL900_SR900,600_.jpg"
8,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,₹199.00,"6,151","https://images-eu.ssl-images-amazon.com/images/I/81WCSu2RoJS._AC_UL900_SR900,600_.jpg"
9,"Simple, Not Easy: A No-Nonsense Guide to Fitness, Nutrition and Weight Loss",Raj Ganpath,₹305.00,no rate,"https://images-eu.ssl-images-amazon.com/images/I/81RdXBjNrjL._AC_UL900_SR900,600_.jpg"
10,Ikigai: Japanese secret to long and happy life,Francesc Miralles,₹380.00,"56,969","https://images-eu.ssl-images-amazon.com/images/I/81l3rZK4lnL._AC_UL900_SR900,600_.jpg"
11,Don't Believe Everything You Think (English),Joseph Nguyen,₹185.00,"9,026","https://images-eu.ssl-images-amazon.com/images/I/715qi-cIbML._AC_UL900_SR900,600_.jpg"
12,"Educart CBSE Class 10 Most Likely Sets of Sample Papers - Science, Maths Standard, Social Science & English (with Answer Writing Sheets 2024-25)",Prashant Kirad,₹499.00,41,"https://images-eu.ssl-images-amazon.com/images/I/81NkV0f0HuL._AC_UL900_SR900,600_.jpg"
13,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set,Dale Carnegie,₹349.00,"26,428","https://images-eu.ssl-images-amazon.com/images/I/71TqdH9wTmL._AC_UL900_SR900,600_.jpg"
14,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery (English),Brianna Wiest,₹261.00,"20,730","https://images-eu.ssl-images-amazon.com/images/I/61xivWmExiL._AC_UL900_SR900,600_.jpg"
15,The Power of Your Subconscious Mind: Original Edition | Premium Paperback,Joseph Murphy,₹149.00,"13,695","https://images-eu.ssl-images-amazon.com/images/I/71sBtM3Yi5L._AC_UL900_SR900,600_.jpg"
16,"PW NTA NEET Rankers Test Series 2025 Verified & Curated by Expert Faculties | 10 Full Syllabus + 4 Part Syllabus (Class 11 & 12) | OMR Sheet, Solution Booklet with NCERT References",Physics Wallah (PW),₹598.00,40,"https://images-eu.ssl-images-amazon.com/images/I/71Q-aej+R2L._AC_UL900_SR900,600_.jpg"
17,My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),Wonder House Books,₹129.00,"29,200","https://images-eu.ssl-images-amazon.com/images/I/71Ytm8A3piL._AC_UL900_SR900,600_.jpg"
18,Shrimad Bhagwat Geeta Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,₹258.00,"20,556","https://images-eu.ssl-images-amazon.com/images/I/91msEbTletL._AC_UL900_SR900,600_.jpg"
19,Educart CBSE Class 10 Final Revision Book 2025 - Maths + Science + Social Science + English (2024-25),Prem Sharma,₹639.00,37,"https://images-eu.ssl-images-amazon.com/images/I/81HxcZT-K+L._AC_UL900_SR900,600_.jpg"
20,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,₹393.00,"32,474","https://images-eu.ssl-images-amazon.com/images/I/81BE7eeKzAL._AC_UL900_SR900,600_.jpg"
21,The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,Joseph Murphy,₹149.00,"50,013","https://images-eu.ssl-images-amazon.com/images/I/61WMgOHyDaL._AC_UL900_SR900,600_.jpg"
22,Static G.K By Ankit Bhati And Naveen Sir In Hindi Latest 2025,Ankit Bhati Sir,₹169.00,43,"https://images-eu.ssl-images-amazon.com/images/I/71GrKMm+bgL._AC_UL900_SR900,600_.jpg"
23,"The Art of Being Alone: Loneliness Was My Cage, Solitude Is My Home (English)",Renuka Gavrani,₹200.00,"2,250","https://images-eu.ssl-images-amazon.com/images/I/61Ktyy7KymL._AC_UL900_SR900,600_.jpg"
24,Oswaal CBSE Sample Question Papers Class 10 Science Book (For 2025 Exam),Oswaal Editorial Board,₹309.00,99,"https://images-eu.ssl-images-amazon.com/images/I/81fbUdMYT0L._AC_UL900_SR900,600_.jpg"
25,1001 Ultimate Brain Booster Activities for 4+ Years Old Kids |Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,Team Pegasus,₹310.00,"1,677","https://images-eu.ssl-images-amazon.com/images/I/81zZVEy-UPL._AC_UL900_SR900,600_.jpg"
26,"Moral Story Books for Kids (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers (Set of 10 Books)",Maple Press,₹228.00,"3,320","https://images-eu.ssl-images-amazon.com/images/I/710GgrTea1L._AC_UL900_SR900,600_.jpg"
27,"Story Books for Kids - Second Reader (Illustrated) (Set of 6 Books) - Phonic stories - Bedtime Stories - 3 Years to 6 Years Old - Read Aloud to Infants, Toddlers",Maple Press,₹150.00,435,"https://images-eu.ssl-images-amazon.com/images/I/91pRN-NJ6HL._AC_UL900_SR900,600_.jpg"
28,"The Vegetarian by Han Kang, Winner of the 2024 Nobel Prize in Literature",Han Kang,₹336.00,788,"https://images-eu.ssl-images-amazon.com/images/I/71YBG7M5WCL._AC_UL900_SR900,600_.jpg"
