,movie_rank,movie_title,movie_lifetime,movie_year_release
0,1,Avatar,"$2,923,706,026",2009
1,2,Avengers: Endgame,"$2,799,439,100",2019
2,3,Avatar: The Way of Water,"$2,320,250,281",2022
3,4,Titanic,"$2,264,750,694",1997
4,5,Star Wars: Episode VII - The Force Awakens,"$2,071,310,218",2015
5,6,Avengers: Infinity War,"$2,052,415,039",2018
6,7,Spider-Man: No Way Home,"$1,952,723,719",2021
7,8,Inside Out 2,"$1,698,778,437",2024
8,9,Jurassic World,"$1,671,537,444",2015
9,10,The Lion King,"$1,662,020,819",2019
10,11,The Avengers,"$1,520,538,536",2012
11,12,Furious 7,"$1,515,342,457",2015
12,13,Top Gun: Maverick,"$1,495,696,292",2022
13,14,Frozen II,"$1,453,683,476",2019
14,15,Barbie,"$1,446,938,421",2023
15,16,Avengers: Age of Ultron,"$1,405,018,048",2015
16,17,The Super Mario Bros. Movie,"$1,360,847,665",2023
17,18,Black Panther,"$1,349,926,083",2018
18,19,Harry Potter and the Deathly Hallows: Part 2,"$1,342,499,744",2011
19,20,Deadpool & Wolverine,"$1,338,073,645",2024
20,21,Star Wars: Episode VIII - The Last Jedi,"$1,334,407,706",2017
21,22,Jurassic World: Fallen Kingdom,"$1,310,469,037",2018
22,23,Frozen,"$1,306,450,154",2013
23,24,Iron Man 3,"$1,266,152,644",2013
24,25,Beauty and the Beast,"$1,266,115,964",2017
25,26,Incredibles 2,"$1,243,225,667",2018
26,27,The Fate of the Furious,"$1,236,009,236",2017
27,28,Minions,"$1,159,457,503",2015
28,29,Captain America: Civil War,"$1,155,046,416",2016
29,30,Aquaman,"$1,152,028,393",2018
30,31,The Lord of the Rings: The Return of the King,"$1,138,267,537",2003
31,32,Spider-Man: Far from Home,"$1,132,705,055",2019
32,33,Captain Marvel,"$1,131,416,446",2019
33,34,Transformers: Dark of the Moon,"$1,123,794,079",2011
34,35,The Dark Knight Rises,"$1,114,975,066",2012
35,36,Skyfall,"$1,108,594,137",2012
36,37,Transformers: Age of Extinction,"$1,105,261,713",2014
37,38,Jurassic Park,"$1,104,379,926",1993
38,39,Joker,"$1,078,958,629",2019
39,40,Star Wars: Episode IX - The Rise of Skywalker,"$1,077,022,372",2019
40,41,Toy Story 4,"$1,073,841,394",2019
41,42,Toy Story 3,"$1,067,316,101",2010
42,43,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747",2006
43,44,Rogue One: A Star Wars Story,"$1,058,684,742",2016
44,45,Aladdin,"$1,054,304,000",2019
45,46,Pirates of the Caribbean: On Stranger Tides,"$1,046,721,266",2011
46,47,Star Wars: Episode I - The Phantom Menace,"$1,046,515,409",1999
47,48,Despicable Me 3,"$1,034,800,131",2017
48,49,Finding Dory,"$1,029,266,989",2016
49,50,Harry Potter and the Sorcerer's Stone,"$1,026,414,475",2001
50,51,Zootopia,"$1,025,521,689",2016
51,52,Alice in Wonderland,"$1,025,468,216",2010
52,53,The Hobbit: An Unexpected Journey,"$1,017,107,150",2012
53,54,The Dark Knight,"$1,009,053,678",2008
54,55,Jurassic World Dominion,"$1,001,978,080",2022
55,56,The Lion King,"$979,161,373",1994
56,57,Oppenheimer,"$975,594,978",2023
57,58,Despicable Me 2,"$970,766,005",2013
58,59,Despicable Me 4,"$969,126,452",2024
59,60,The Jungle Book,"$967,724,775",2016
60,61,Moana 2,"$963,486,006",2024
61,62,Jumanji: Welcome to the Jungle,"$962,544,585",2017
62,63,The Hobbit: The Battle of the Five Armies,"$962,253,946",2014
63,64,Pirates of the Caribbean: At World's End,"$961,691,209",2007
