,Name,price,rate,product_image
0,"Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 64GB Storage, Black- 1 Year Warranty/Local Version","5,298","1,068",https://m.media-amazon.com/images/I/61Ll0048EIL._AC_UL320_.jpg
1,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 6GB RAM, 128GB Storage, Black Blue, 1 Year Warranty/Local Version","8,199","3,002",https://m.media-amazon.com/images/I/61isHdQ+TDL._AC_UL320_.jpg
2,"Galaxy A16 LTE, Android Smartphone, Dual SIM Mobile Phone, 6GB RAM, 128GB Storage, Black (1 Year Local Warranty)","8,070",2,https://m.media-amazon.com/images/I/61Lp1UcxeLL._AC_UL320_.jpg
3,"Galaxy A35 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Iceblue, 1 Year Warranty/Local Version","15,302",222,https://m.media-amazon.com/images/I/61Wp5qhgwzL._AC_UL320_.jpg
4,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Light Blue, 1 Year Warranty/Local Version",see price options,"3,002",https://m.media-amazon.com/images/I/61cl1NEIrdL._AC_UL320_.jpg
5,"Galaxy A16 LTE, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Gray (1 Year Local Warranty)","9,810",2,https://m.media-amazon.com/images/I/61lzvL4tAqL._AC_UL320_.jpg
6,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Blue Black, 1 Year Warranty/Local Version","9,625","3,002",https://m.media-amazon.com/images/I/514nSB8S9pL._AC_UL320_.jpg
7,"Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 64GB Storage, Silver- 1 Year Warranty/Local Version","5,299","1,068",https://m.media-amazon.com/images/I/61BDP4KDY3L._AC_UL320_.jpg
8,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Navy -1 Year Warranty/Local Version","22,998",850,https://m.media-amazon.com/images/I/61ERH+yIyiL._AC_UL320_.jpg
9,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Navy -1 Year Warranty/Local Version","19,990",850,https://m.media-amazon.com/images/I/61ERH+yIyiL._AC_UL320_.jpg
10,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 6GB RAM, 128GB Storage, Light Blue, 1 Year Warranty/Local Version","8,199","3,002",https://m.media-amazon.com/images/I/61cl1NEIrdL._AC_UL320_.jpg
